variables,units,values,description
rotorse.re.precomp.rho,kg/m**3,[1235. 7800. 7850. 7200. 1940. 1220. 1940. 1940.  130. 1150. 1100.],"1D array of the density of the materials. For composites, this is the density of the laminate."
rotorse.re.precomp.joint_position,,[0.],Spanwise position of the segmentation joint.
rotorse.re.precomp.joint_mass,,[0.],Mass of the joint.
rotorse.re.precomp.n_blades,Unavailable,3,Number of blades of the rotor.
rotorse.re.precomp.definition_layer,Unavailable,[ 9.  9.  2.  2.  5.  7.  8.  6.  6.  6.  6.  9. 10. 10. 10. 10. 10. 10.],"1D array of flags identifying how layers are specified in the yaml. 1) all around (skin, paint, ) 2) offset+rotation twist+width (spar caps) 3) offset+user defined rotation+width 4) midpoint TE+width (TE reinf) 5) midpoint LE+width (LE reinf) 6) layer position fixed to other layer (core fillers) 7) start and width 8) end and width 9) start and end nd 10) web layer"
rotorse.re.precomp.mat_name,Unavailable,"['Gelcoat', 'steel', 'steel_drive', 'cast_iron', 'glass_uni', 'CarbonUD', 'glass_biax', 'glass_triax', 'medium_density_foam', 'resin', 'adhesive']",1D array of names of materials.
rotorse.re.precomp.orth,Unavailable,[0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0.],1D array of flags to set whether a material is isotropic (0) or orthtropic (1). Each entry represents a material.
rotorse.rp.v_min,m/s,[3.],cut-in wind speed
rotorse.rp.v_max,m/s,[25.],cut-out wind speed
rotorse.rp.rated_power,W,[15000000.],electrical rated power
rotorse.rp.omega_min,rpm,[5.],minimum allowed rotor rotation speed
rotorse.rp.omega_max,rpm,[7.56],maximum allowed rotor rotation speed
rotorse.rp.control_maxTS,m/s,[95.],maximum allowed blade tip speed
rotorse.rp.powercurve.gearbox_efficiency,,[1.],
rotorse.rp.powercurve.generator_efficiency,,"[0.95840811 0.96049247 0.96218548 0.96355812 0.96466405 0.96554512
 0.96622191 0.96675331 0.96714078 0.96646312 0.96546675 0.96455066
 0.96368948 0.96290165 0.96214667 0.96145789 0.96078494 0.96014475
 0.95953352 0.95897999]",Generator efficiency at various rpm values to support table lookup
rotorse.rp.powercurve.lss_rpm,rpm,"[5.         5.131539   5.26307799 5.39461699 5.52615599 5.65769498
 5.78923398 5.92077298 6.05231197 6.18385097 6.31538996 6.44692896
 6.57846796 6.71000695 6.84154595 6.97308495 7.10462394 7.23616294
 7.36770194 7.49924093]",Low speed shaft RPM values at which the generator efficiency values are given
rotorse.rp.drivetrainType,Unavailable,direct_drive,
rotorse.rp.powercurve.V,m/s,"[ 3.          4.27204607  5.30403148  6.08010611  6.58835037  6.82095822
  6.86755938  7.1926538   7.79124841  8.6541495   9.76810389 10.65710086
 11.11600255 12.67714331 14.42754887 16.34033501 18.38612357 20.5334936
 22.74946399 25.        ]",wind vector
rotorse.rp.powercurve.Omega,rpm,"[5.         5.         5.         5.         5.         5.
 5.         5.11005257 5.53532675 6.14837862 6.93979243 7.49924093
 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093 7.49924093
 7.49924093 7.49924093]",rotor rotational speed
rotorse.rp.powercurve.P,W,"[   41243.60307708   759212.90122025  1730122.51854701  2728616.71012421
  3520392.69547623  3921190.34439464  4004450.56010075  4616321.25443261
  5895402.58290051  8095229.05920176 11580528.49327241 15000000.
 15000004.14887001 15000068.64700645 15000001.06432517 15000000.14287922
 15000228.60772826 15000101.31261146 15000019.10930915 15000003.85004254]",rotor electrical power
rotorse.rp.gust.V_mean,m/s,[10.],IEC average wind speed for turbine class
rotorse.rp.gust.V_hub,m/s,[10.65710086],hub height wind speed
rotorse.rp.gust.turbulence_class,Unavailable,B,IEC turbulence class
rotorse.rp.cdf.x,m/s,"[ 3.          3.11055276  3.22110553  3.33165829  3.44221106  3.55276382
  3.66331658  3.77386935  3.88442211  3.99497487  4.10552764  4.2160804
  4.32663317  4.43718593  4.54773869  4.65829146  4.76884422  4.87939698
  4.98994975  5.10050251  5.21105528  5.32160804  5.4321608   5.54271357
  5.65326633  5.7638191   5.87437186  5.98492462  6.09547739  6.20603015
  6.31658291  6.42713568  6.53768844  6.64824121  6.75879397  6.86934673
  6.9798995   7.09045226  7.20100503  7.31155779  7.42211055  7.53266332
  7.64321608  7.75376884  7.86432161  7.97487437  8.08542714  8.1959799
  8.30653266  8.41708543  8.52763819  8.63819095  8.74874372  8.85929648
  8.96984925  9.08040201  9.19095477  9.30150754  9.4120603   9.52261307
  9.63316583  9.74371859  9.85427136  9.96482412 10.07537688 10.18592965
 10.29648241 10.40703518 10.51758794 10.6281407  10.73869347 10.84924623
 10.95979899 11.07035176 11.18090452 11.29145729 11.40201005 11.51256281
 11.62311558 11.73366834 11.84422111 11.95477387 12.06532663 12.1758794
 12.28643216 12.39698492 12.50753769 12.61809045 12.72864322 12.83919598
 12.94974874 13.06030151 13.17085427 13.28140704 13.3919598  13.50251256
 13.61306533 13.72361809 13.83417085 13.94472362 14.05527638 14.16582915
 14.27638191 14.38693467 14.49748744 14.6080402  14.71859296 14.82914573
 14.93969849 15.05025126 15.16080402 15.27135678 15.38190955 15.49246231
 15.60301508 15.71356784 15.8241206  15.93467337 16.04522613 16.15577889
 16.26633166 16.37688442 16.48743719 16.59798995 16.70854271 16.81909548
 16.92964824 17.04020101 17.15075377 17.26130653 17.3718593  17.48241206
 17.59296482 17.70351759 17.81407035 17.92462312 18.03517588 18.14572864
 18.25628141 18.36683417 18.47738693 18.5879397  18.69849246 18.80904523
 18.91959799 19.03015075 19.14070352 19.25125628 19.36180905 19.47236181
 19.58291457 19.69346734 19.8040201  19.91457286 20.02512563 20.13567839
 20.24623116 20.35678392 20.46733668 20.57788945 20.68844221 20.79899497
 20.90954774 21.0201005  21.13065327 21.24120603 21.35175879 21.46231156
 21.57286432 21.68341709 21.79396985 21.90452261 22.01507538 22.12562814
 22.2361809  22.34673367 22.45728643 22.5678392  22.67839196 22.78894472
 22.89949749 23.01005025 23.12060302 23.23115578 23.34170854 23.45226131
 23.56281407 23.67336683 23.7839196  23.89447236 24.00502513 24.11557789
 24.22613065 24.33668342 24.44723618 24.55778894 24.66834171 24.77889447
 24.88944724 25.        ]",corresponding reference height
rotorse.rp.cdf.k,,[2.],shape or form factor
rotorse.rp.cdf.xbar,m/s,[10.],mean value of distribution
rotorse.rp.aep.CDF_V,m/s,"[0.06824543 0.07317592 0.07825729 0.08348677 0.08886153 0.09437864
 0.10003514 0.10582799 0.11175409 0.1178103  0.12399341 0.13030017
 0.13672727 0.14327136 0.14992906 0.15669694 0.16357153 0.17054933
 0.17762681 0.18480043 0.19206659 0.19942169 0.20686212 0.21438424
 0.2219844  0.22965893 0.23740419 0.24521648 0.25309215 0.26102753
 0.26901895 0.27706275 0.28515528 0.29329292 0.30147203 0.30968902
 0.31794031 0.32622234 0.33453157 0.3428645  0.35121765 0.35958758
 0.36797088 0.37636417 0.38476413 0.39316746 0.4015709  0.40997127
 0.41836538 0.42675014 0.43512249 0.4434794  0.45181794 0.46013518
 0.4684283  0.4766945  0.48493104 0.49313527 0.50130457 0.50943638
 0.51752823 0.5255777  0.53358242 0.54154011 0.54944853 0.55730553
 0.56510902 0.57285696 0.5805474  0.58817845 0.59574828 0.60325515
 0.61069736 0.6180733  0.62538141 0.63262022 0.63978832 0.64688436
 0.65390705 0.6608552  0.66772765 0.67452333 0.68124122 0.68788039
 0.69443994 0.70091905 0.70731698 0.71363303 0.71986656 0.726017
 0.73208386 0.73806666 0.74396502 0.7497786  0.75550712 0.76115035
 0.76670812 0.77218031 0.77756684 0.78286771 0.78808294 0.79321261
 0.79825684 0.80321582 0.80808974 0.81287887 0.81758352 0.82220402
 0.82674074 0.83119412 0.8355646  0.83985268 0.84405887 0.84818374
 0.85222787 0.85619189 0.86007643 0.86388218 0.86760984 0.87126013
 0.8748338  0.87833164 0.88175443 0.88510299 0.88837815 0.89158077
 0.89471172 0.89777188 0.90076215 0.90368344 0.90653669 0.90932282
 0.91204279 0.91469754 0.91728805 0.91981528 0.92228022 0.92468385
 0.92702715 0.92931111 0.93153673 0.93370501 0.93581694 0.93787353
 0.93987575 0.94182462 0.94372112 0.94556625 0.94736099 0.94910633
 0.95080325 0.95245271 0.9540557  0.95561316 0.95712606 0.95859534
 0.96002195 0.96140681 0.96275085 0.96405498 0.96532012 0.96654715
 0.96773696 0.96889042 0.97000841 0.97109177 0.97214134 0.97315796
 0.97414245 0.97509561 0.97601824 0.97691112 0.97777502 0.97861071
 0.97941893 0.98020041 0.98095587 0.98168602 0.98239156 0.98307317
 0.98373152 0.98436726 0.98498105 0.9855735  0.98614525 0.98669689
 0.98722901 0.98774221 0.98823704 0.98871406 0.98917382 0.98961684
 0.99004365 0.99045474 0.99085061 0.99123175 0.99159863 0.9919517
 0.99229141 0.99261821]",cumulative distribution function evaluated at each wind speed
rotorse.rp.aep.P,W,"[   41243.60307708    83195.55035773   130000.03320596   181353.99576397
   236954.38217394   296498.13657807   359682.20311856   426203.52593759
   495759.04917737   568045.71698008   642760.47348792   719600.26284308
   798931.26828929   884468.06549802   976354.58646218  1074019.85080724
  1176892.87815868  1284402.68814198  1395978.30038261  1511048.73450604
  1629043.01013776  1749466.36576606  1875517.72028603  2008554.79025003
  2147775.28372281  2292376.90876912  2441557.37345368  2594514.38584126
  2750511.37809803  2912790.88549539  3082386.28173881  3257714.4180977
  3437192.14584149  3620624.42305484  3811867.92670437  4007706.04648684
  4210249.25894754  4417492.3124522   4632945.52531798  4855778.86035639
  5084187.72794974  5318805.37100995  5560265.03244894  5809199.95517864
  6065795.02420343  6328963.05876013  6598719.64599467  6875188.56384083
  7158493.59023239  7448758.50310314  7746107.08038686  8050663.10001733
  8362480.22250474  8681506.37919846  9007765.39036153  9341282.73050069
  9682083.87412268 10030194.29573421 10385639.46984202 10748444.87095286
 11118635.97357343 11496238.25221049 11914104.03337653 12421968.88495062
 12979434.74067131 13543122.51804487 14069653.13457763 14515647.50777587
 14837726.5551459  14992511.194194   15000001.08981733 15000002.012733
 15000002.704219   15000003.60883789 15000005.2661379  15000008.2464472
 15000012.38528521 15000017.45198859 15000023.21589397 15000029.44633803
 15000035.9126574  15000042.38418876 15000048.63026874 15000054.420234
 15000059.5234212  15000063.70916699 15000066.74680802 15000068.40568095
 15000068.47636275 15000067.02963827 15000064.27463565 15000060.41311954
 15000055.64685457 15000050.1776054  15000044.20713666 15000037.93721301
 15000031.56959908 15000025.30605953 15000019.34835898 15000013.8982621
 15000009.15753352 15000005.32793788 15000002.61123983 15000001.20920402
 15000000.99804154 15000000.8983313  15000000.80482197 15000000.71750902
 15000000.63638792 15000000.56145416 15000000.4927032  15000000.43013053
 15000000.37373162 15000000.32350194 15000000.27943698 15000000.24153221
 15000000.2097831  15000000.18418513 15000000.16473378 15000000.15142453
 15000000.14425284 15000000.35903968 15000003.51670947 15000010.10173066
 15000019.68146271 15000031.82326508 15000046.09449722 15000062.06251859
 15000079.29468866 15000097.35836687 15000115.82091268 15000134.24968556
 15000152.21204495 15000169.27535033 15000185.00696114 15000198.97423684
 15000210.7445369  15000219.88522076 15000225.96364789 15000228.54717774
 15000228.10717441 15000226.2311203  15000223.08466717 15000218.79592752
 15000213.49301384 15000207.30403863 15000200.35711437 15000192.78035355
 15000184.70186867 15000176.24977222 15000167.55217669 15000158.73719457
 15000149.93293835 15000141.26752053 15000132.86905359 15000124.86565003
 15000117.38542234 15000110.55648301 15000104.50694453 15000099.27699053
 15000094.15469291 15000088.97886182 15000083.77759056 15000078.57897244
 15000073.41110078 15000068.30206888 15000063.27997005 15000058.3728976
 15000053.60894484 15000049.01620509 15000044.62277165 15000040.45673783
 15000036.54619695 15000032.91924231 15000029.60396722 15000026.62846499
 15000024.02082894 15000021.80915237 15000020.02152859 15000018.65770048
 15000017.41379167 15000016.20295716 15000015.02851835 15000013.89379665
 15000012.80211348 15000011.75679021 15000010.76114827 15000009.81850906
 15000008.93219399 15000008.10552444 15000007.34182184 15000006.64440759
 15000006.01660308 15000005.46172973 15000004.98310894 15000004.58406212
 15000004.26791066 15000004.03797597 15000003.89757946 15000003.85004254]",power curve (power)
rotorse.rp.aep.lossFactor,,[1.],"multiplicative factor for availability and other losses (soiling, array, etc.)"
rotorse.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
rotorse.stall_check.aoa_along_span,deg,"[53.57946346 43.56759917 31.46470765 19.93549998 14.68697776 11.84638338
  9.97861483  8.73772218  8.13828069  7.88087014  7.68578366  7.51535541
  7.4070431   7.31002937  7.21992298  7.18579573  7.1403419   7.09971807
  7.06830196  7.07541696  7.15602326  7.3218613   7.55444525  7.75710874
  7.82380526  7.71515274  7.48908827  7.1026078   6.31634439  7.10928941]",Angle of attack along blade span
rotorse.stall_check.stall_margin,deg,[2.99828814],Minimum margin from the stall angle
rotorse.stall_check.min_s,,[0.25],Minimum nondimensional coordinate along blade span where to define the constraint (blade root typically stalls)
rotorse.rs.aero_gust.V_load,m/s,[19.6999067],
rotorse.rs.Omega_load,rpm,[7.49924093],
rotorse.rs.pitch_load,deg,[4.87890978e-18],
rotorse.rs.aero_gust.azimuth_load,deg,[0.],
rotorse.rs.tot_loads_gust.aeroloads_Px,N/m,"[  382.92292779   476.37902144   853.48963759  1546.74874832
  2427.13539226  3370.52050983  4450.29157616  5405.92071664
  6389.8311763   7282.90936999  7956.96380842  8814.93210567
  9681.30772105 10569.87648675 11239.15935477 11655.63052187
 12790.3034656  14259.67043771 15547.95346329 16484.21412394
 17117.52094625 17466.74755004 17807.20173122 18283.29335085
 18628.34659519 18887.34693937 18812.7265587  18374.47635148
 17262.5357543   4825.29833126]",distributed loads in blade-aligned x-direction
rotorse.rs.tot_loads_gust.aeroloads_Py,N/m,"[   77.93513495    80.46437039  -132.09496038  -713.96836878
 -1350.80947803 -1858.26775013 -2306.90186696 -2589.24399172
 -2877.32161093 -3097.4999293  -3170.55803494 -3323.26495717
 -3469.89978006 -3611.61197221 -3640.42308121 -3565.49574224
 -3765.22625348 -4095.87888478 -4320.89143803 -4383.04483206
 -4371.3900021  -4236.89377857 -4096.93752558 -4048.16688885
 -3971.7183224  -3898.37568768 -3751.25430158 -3512.66352692
 -3080.45065239  -939.71996894]",distributed loads in blade-aligned y-direction
rotorse.rs.tot_loads_gust.aeroloads_Pz,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",distributed loads in blade-aligned z-direction
rotorse.rs.tot_loads_gust.aeroloads_Omega,rpm,[7.49924093],rotor rotation speed
rotorse.rs.tot_loads_gust.aeroloads_pitch,deg,[4.87890978e-18],pitch angle
rotorse.rs.tot_loads_gust.aeroloads_azimuth,deg,[0.],azimuthal angle
rotorse.rs.3d_curv,deg,"[3.50716427 3.40678458 3.25788532 3.23263502 3.34082218 3.58725442
 3.87560524 4.02547368 4.06467813 4.09418143 4.15977367 4.38858615
 4.83524592 5.26257127 5.50703682 5.73261053 6.15241718 6.67184984
 7.05700826 7.262682   7.43038561 7.70237518 8.00777473 8.25084252
 8.45053026 8.68743078 8.96496615 9.24655102 9.49191299 9.59559237]",total cone angle from precone and curvature
rotorse.rs.z_az,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068965  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206896 108.86655172 112.90103448 116.93551724 120.97      ]",location of blade in azimuth z-coordinate system
rotorse.rhoA,kg/m,"[3179.05917167 2608.77688971 1975.38265678 1633.35738945 1158.09844826
  824.98266748  645.48743326  576.56946562  550.29180409  554.21429901
  556.04727883  541.90554472  516.70413864  478.8479631   435.65060158
  395.91294997  361.59548854  326.267077    291.89837803  261.50471395
  236.63846495  208.55113767  174.23446102  139.61302165  100.24455986
   71.97610609   51.1537381    36.66379352   23.72533305    5.40861317]",mass per unit length
rotorse.rs.tot_loads_gust.dynamicFactor,,[1.],a dynamic amplification factor to adjust the static deflection calculation
rotorse.rs.x_az,m,"[ 0.00000000e+00  3.47038875e-02  8.35457789e-02  1.39221829e-01
  1.91620281e-01  2.32058151e-01  2.49748715e-01  2.49576780e-01
  2.46161255e-01  2.40468154e-01  2.32897670e-01  2.17967148e-01
  1.78171719e-01  1.00328504e-01  3.33661701e-04 -1.11956965e-01
 -2.43745733e-01 -4.15231916e-01 -6.20301885e-01 -8.46162280e-01
 -1.08028322e+00 -1.32984337e+00 -1.60241994e+00 -1.89518421e+00
 -2.20216882e+00 -2.52321796e+00 -2.86378033e+00 -3.22419386e+00
 -3.60472885e+00 -4.00000000e+00]",location of blade in azimuth x-coordinate system (prebend)
rotorse.rs.y_az,m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",location of blade in azimuth y-coordinate system (sweep)
rotorse.rs.frame.Px_af,N/m,"[ 2112.51829646  2290.71901545  2561.77559237  3310.61297305
  3985.57870731  4732.92226646  5722.67034276  6681.91540755
  7712.35118227  8693.78395285  9448.19483681 10389.64085067
 11356.52689816 12300.30152278 12949.62107322 13333.50225687
 14485.53030696 15966.70982814 17215.54656741 18072.96204142
 18629.72587455 18871.26245632 19031.65085766 19284.48697607
 19340.52815806 19395.34861872 19170.9098357  18633.73728652
 17433.82492943  4867.7100678 ]",distributed load (force per unit length) in airfoil x-direction
rotorse.rs.frame.Py_af,N/m,"[  670.52294429   717.6242582    535.12801083    50.68350833
  -557.85482342 -1058.22466361 -1483.26396009 -1754.30168394
 -2052.27262224 -2314.72748147 -2461.38784951 -2675.16929126
 -2883.75820795 -3094.37971773 -3207.53686948 -3225.09512489
 -3498.74194425 -3903.19596457 -4214.25680863 -4377.09072484
 -4487.87281284 -4512.05440627 -4554.7165787  -4672.60662601
 -4695.74444427 -4636.70275322 -4459.48679835 -4149.96567336
 -3587.50423803 -1045.507717  ]",distributed load (force per unit length) in airfoil y-direction
rotorse.rs.frame.Pz_af,N/m,"[-23376.37078089 -12700.68314259  -4706.08233599    166.98945763
   2992.78906989   4176.41764903   4865.73504364   5774.95400474
   6876.87623258   8300.80640527   9706.81234934  10799.29428703
  11567.52829784  11895.73354082  11895.3108766   11784.66514996
  11646.77178303  11301.42376515  10821.52736388  10334.85242319
   9931.72826976   9260.58927784   8159.42710329   6877.31079021
   5181.85776068   3895.00861364   2891.58590088   2160.72899969
   1455.35033875    344.93124696]",distributed load (force per unit length) in airfoil z-direction
rotorse.A,m**2,"[16.33378052 16.33628934 15.42788357 21.17752497 19.3473374  18.63056881
 17.87873436 16.9371807  15.89775494 15.16393326 14.36769408 13.45615542
 12.81465698 12.242401   11.52089105 10.87704305 10.34485452  9.77435335
  9.24554689  8.76324554  8.25635693  7.75791247  7.30817438  6.90507367
  6.49032837  6.04998909  5.58753467  5.10494669  3.96807517  1.04301865]",airfoil cross section material area
rotorse.EA,N,"[4.69266580e+10 3.92700511e+10 3.17145085e+10 2.73170389e+10
 2.36881797e+10 2.19988385e+10 2.19174252e+10 2.24714571e+10
 2.35137737e+10 2.47623801e+10 2.55921672e+10 2.56391872e+10
 2.51103452e+10 2.40601151e+10 2.28116539e+10 2.15964406e+10
 2.04931064e+10 1.93321637e+10 1.81076574e+10 1.68535801e+10
 1.55135674e+10 1.35679876e+10 1.09291252e+10 8.17580162e+09
 5.70942460e+09 4.08097589e+09 2.76797378e+09 1.66651417e+09
 7.86343230e+08 1.29015240e+08]",axial stiffness
rotorse.EIxx,N*m**2,"[1.52444118e+11 1.28168006e+11 9.44278800e+10 7.18326910e+10
 5.49018281e+10 4.53677232e+10 4.16647234e+10 4.15540155e+10
 4.23171400e+10 4.25404232e+10 4.05245124e+10 3.69348038e+10
 3.23815240e+10 2.65815020e+10 2.08445392e+10 1.60213832e+10
 1.22174235e+10 8.77029256e+09 5.85484458e+09 3.80506377e+09
 2.81438124e+09 2.24241167e+09 1.75265180e+09 1.33760374e+09
 7.90988511e+08 5.12658756e+08 3.29731134e+08 2.09160326e+08
 1.07884420e+08 1.92084752e+06]",edgewise stiffness (bending about :ref:`x-axis of airfoil aligned coordinate system <blade_airfoil_coord>`)
rotorse.EIyy,N*m**2,"[1.52498807e+11 1.28793587e+11 8.77422741e+10 5.47616737e+10
 3.60125726e+10 2.91684534e+10 2.42462485e+10 1.92360348e+10
 1.55388299e+10 1.41159478e+10 1.24156716e+10 9.92322988e+09
 8.56191251e+09 7.48114835e+09 5.93614737e+09 4.72590467e+09
 3.92125478e+09 3.08420541e+09 2.47209557e+09 2.00179194e+09
 1.53795649e+09 1.10979657e+09 7.68794187e+08 5.21793356e+08
 3.32507489e+08 2.09422533e+08 1.21232420e+08 5.95806927e+07
 2.22986880e+07 1.88860861e+05]",flapwise stiffness (bending about y-axis of airfoil aligned coordinate system)
rotorse.EIxy,N*m**2,"[ 5.70981068e+07  3.34616722e+09  1.17033777e+10  1.74988365e+10
  1.68411997e+10  1.46229470e+10  1.23691628e+10  1.02351102e+10
  8.26342021e+09  6.83469911e+09  5.45750725e+09  4.03717316e+09
  3.01003357e+09  2.14535039e+09  1.38012985e+09  8.48312301e+08
  5.28435593e+08  2.87357009e+08  1.26246506e+08  3.29482051e+07
 -1.93663349e+07 -5.12574111e+07 -6.57343319e+07 -6.32548054e+07
 -4.29714710e+07 -2.73214805e+07 -1.57353543e+07 -8.01420894e+06
 -3.15105772e+06 -2.73881925e+04]",coupled flap-edge stiffness
rotorse.GJ,N*m**2,"[8.92313976e+10 7.36803501e+10 4.87003622e+10 2.64042684e+10
 1.29039319e+10 6.22656379e+09 2.89280309e+09 1.61156095e+09
 9.42631073e+08 6.72535986e+08 5.25909800e+08 4.08842481e+08
 3.35995670e+08 2.81178591e+08 2.18463863e+08 1.69629018e+08
 1.38774253e+08 1.07054816e+08 8.28334466e+07 6.54150086e+07
 5.02553606e+07 3.96172042e+07 3.30717357e+07 2.93787789e+07
 2.19511099e+07 1.38603637e+07 8.98746157e+06 6.50198567e+06
 4.25732469e+06 6.65842003e+04]",torsional stiffness (about axial z-direction of airfoil aligned coordinate system)
rotorse.rhoJ,kg*m,"[2.06605526e+04 1.70737631e+04 1.13928456e+04 7.47092913e+03
 4.67093293e+03 3.19812312e+03 2.42524146e+03 2.09228718e+03
 1.88129563e+03 1.76935114e+03 1.61881232e+03 1.42674773e+03
 1.24389661e+03 1.04083143e+03 8.32054082e+02 6.55918456e+02
 5.16108270e+02 3.85027952e+02 2.71572540e+02 1.86501813e+02
 1.38278996e+02 1.07555282e+02 8.32714316e+01 6.42512817e+01
 3.88408528e+01 2.43611564e+01 1.54895020e+01 1.05778824e+01
 6.64208101e+00 1.15334620e-01]",polar mass moment of inertia per unit length
rotorse.x_ec,m,"[ 2.16840434e-16 -7.80625564e-17  1.11022302e-16  1.39275479e-04
 -5.17770307e-05 -3.17335579e-04 -3.42368665e-04 -2.51192993e-04
 -2.32717084e-04 -2.23744949e-04 -1.64228226e-04 -1.34093328e-04
 -1.04681315e-04 -7.60821870e-05 -4.80797600e-05 -3.19759166e-05
 -1.60333925e-05 -7.35830591e-06 -1.54791801e-06 -8.37628857e-07
 -5.55783805e-08  9.18035171e-07  1.92249448e-06  3.80836561e-06
  4.60886877e-06  5.39553284e-06  7.09697882e-06  1.25207559e-05
  2.60208521e-17  1.38777878e-17]",x-distance to elastic center from point about which above structural properties are computed (airfoil aligned coordinate system)
rotorse.y_ec,m,"[-7.28583860e-17 -8.32667268e-17 -2.49800181e-16  7.02233637e-03
  2.12823654e-03 -3.69488082e-04 -1.56401263e-03 -2.08821523e-03
 -2.28041110e-03 -2.23839844e-03 -2.05744398e-03 -1.79015767e-03
 -1.56563713e-03 -1.30499619e-03 -1.00785590e-03 -7.59640769e-04
 -5.82706203e-04 -4.00722461e-04 -2.46190586e-04 -1.33881333e-04
 -8.87168952e-05 -8.55790348e-05 -1.04172109e-04 -1.41944701e-04
 -1.69510004e-04 -1.89252597e-04 -2.38163303e-04 -3.99341739e-04
  2.77555756e-17  2.77555756e-17]",y-distance to elastic center from point about which above structural properties are computed
rotorse.rs.strains.EI11,N*m**2,"[1.52408154e+11 1.25120042e+11 7.89136605e+10 4.38272570e+10
 2.61484420e+10 2.05517888e+10 1.78277921e+10 1.52530064e+10
 1.31941455e+10 1.25579327e+10 1.13932503e+10 9.33273861e+09
 8.18742829e+09 7.24314823e+09 5.80945971e+09 4.66255011e+09
 3.88773082e+09 3.06972018e+09 2.46739051e+09 2.00119013e+09
 1.53766272e+09 1.10748160e+09 7.64421721e+08 5.16917957e+08
 3.28514727e+08 2.06980542e+08 1.20051564e+08 5.91525311e+07
 2.21828306e+07 1.88427875e+05]",stiffness w.r.t principal axis 1
rotorse.rs.strains.EI22,N*m**2,"[1.52534771e+11 1.31841552e+11 1.03256494e+11 8.27657601e+10
 6.47658514e+10 5.39843825e+10 4.80831237e+10 4.55369445e+10
 4.46617009e+10 4.40983130e+10 4.15468246e+10 3.75252124e+10
 3.27559464e+10 2.68194610e+10 2.09712036e+10 1.60847253e+10
 1.22509405e+10 8.78477467e+09 5.85954855e+09 3.80566527e+09
 2.81467488e+09 2.24472653e+09 1.75702415e+09 1.34247897e+09
 7.94981109e+08 5.15100600e+08 3.30911833e+08 2.09588222e+08
 1.08000277e+08 1.92128051e+06]",stiffness w.r.t principal axis 2
rotorse.rs.strains.alpha,deg,"[57.7950301  47.67016527 37.02960876 31.99987362 30.35810976 30.50898729
 27.42516844 21.26368654 15.84091328 12.84153431 10.61092875  8.32128582
  7.09184531  6.33037714  5.24471383  4.27109662  3.62998063  2.88574976
  2.13436037  1.04640556 -0.86904377 -2.58592072 -3.80555113 -4.40739032
 -5.3084859  -5.10751921 -4.2917058  -3.05813812 -2.10569045 -0.90572577]",Angle between blade c.s. and principal axes
rotorse.rs.strains.M1,N*m,"[-5.81950039e+07 -5.47469519e+07 -6.44709095e+07 -6.87965436e+07
 -6.77946414e+07 -6.44835255e+07 -6.12755170e+07 -5.89314940e+07
 -5.59826838e+07 -5.19410182e+07 -4.74380144e+07 -4.28917954e+07
 -3.84194239e+07 -3.41159673e+07 -3.00159880e+07 -2.61276717e+07
 -2.24739241e+07 -1.90673849e+07 -1.59191784e+07 -1.30393541e+07
 -1.04226781e+07 -8.08582573e+06 -6.05395246e+06 -4.33098053e+06
 -2.90356533e+06 -1.77094618e+06 -9.27417404e+05 -3.60537282e+05
 -6.44627875e+04  3.66684962e+00]",distribution along blade span of bending moment w.r.t principal axis 1
rotorse.rs.strains.M2,N*m,"[ 8.43656684e+07  7.95800413e+07  6.38587233e+07  4.98385893e+07
  4.10143636e+07  3.55115889e+07  2.97363700e+07  2.15208685e+07
  1.32022960e+07  7.40909074e+06  3.85820172e+06  1.24374511e+06
 -4.72336401e+05 -1.31985351e+06 -1.88468919e+06 -2.29828195e+06
 -2.43808553e+06 -2.40562715e+06 -2.29581753e+06 -2.15449054e+06
 -2.05691630e+06 -1.91693949e+06 -1.65022711e+06 -1.29072507e+06
 -9.23361369e+05 -5.77524352e+05 -2.91628698e+05 -1.05507217e+05
 -1.76049291e+04  1.87813263e-01]",distribution along blade span of bending moment w.r.t principal axis 2
